province,adcode,model,bodyType,regYear,regMonth,salesVolume
江苏,320000,3d7554f1f56dd664,Sedan,2016,1,1685
江西,360000,3d7554f1f56dd664,Sedan,2016,1,393
河北,130000,3d7554f1f56dd664,Sedan,2016,1,788
河南,410000,3d7554f1f56dd664,Sedan,2016,1,850
浙江,330000,3d7554f1f56dd664,Sedan,2016,1,1438
湖北,420000,3d7554f1f56dd664,Sedan,2016,1,762
湖南,430000,3d7554f1f56dd664,Sedan,2016,1,678
福建,350000,3d7554f1f56dd664,Sedan,2016,1,1115
辽宁,210000,3d7554f1f56dd664,Sedan,2016,1,1304
重庆,500000,3d7554f1f56dd664,Sedan,2016,1,188
陕西,610000,3d7554f1f56dd664,Sedan,2016,1,240
黑龙江,230000,3d7554f1f56dd664,Sedan,2016,1,467
上海,310000,2d0d2c3403909fdb,SUV,2016,1,232
云南,530000,2d0d2c3403909fdb,SUV,2016,1,297
内蒙古,150000,2d0d2c3403909fdb,SUV,2016,1,259
北京,110000,2d0d2c3403909fdb,SUV,2016,1,805
四川,510000,2d0d2c3403909fdb,SUV,2016,1,423
安徽,340000,2d0d2c3403909fdb,SUV,2016,1,138
山东,370000,2d0d2c3403909fdb,SUV,2016,1,337
山西,140000,2d0d2c3403909fdb,SUV,2016,1,166
广东,440000,2d0d2c3403909fdb,SUV,2016,1,1775
广西,450000,2d0d2c3403909fdb,SUV,2016,1,207
江苏,320000,2d0d2c3403909fdb,SUV,2016,1,463
江西,360000,2d0d2c3403909fdb,SUV,2016,1,97
河北,130000,2d0d2c3403909fdb,SUV,2016,1,326
河南,410000,2d0d2c3403909fdb,SUV,2016,1,271
浙江,330000,2d0d2c3403909fdb,SUV,2016,1,381
湖北,420000,2d0d2c3403909fdb,SUV,2016,1,226
湖南,430000,2d0d2c3403909fdb,SUV,2016,1,259
福建,350000,2d0d2c3403909fdb,SUV,2016,1,137
辽宁,210000,2d0d2c3403909fdb,SUV,2016,1,543
重庆,500000,2d0d2c3403909fdb,SUV,2016,1,172
陕西,610000,2d0d2c3403909fdb,SUV,2016,1,248
黑龙江,230000,2d0d2c3403909fdb,SUV,2016,1,362
上海,310000,a28bb927b6fcb33c,Sedan,2016,1,243
云南,530000,a28bb927b6fcb33c,Sedan,2016,1,238
内蒙古,150000,a28bb927b6fcb33c,Sedan,2016,1,190
北京,110000,a28bb927b6fcb33c,Sedan,2016,1,335
四川,510000,a28bb927b6fcb33c,Sedan,2016,1,528
安徽,340000,a28bb927b6fcb33c,Sedan,2016,1,308
山东,370000,a28bb927b6fcb33c,Sedan,2016,1,424
山西,140000,a28bb927b6fcb33c,Sedan,2016,1,182
广东,440000,a28bb927b6fcb33c,Sedan,2016,1,4260
广西,450000,a28bb927b6fcb33c,Sedan,2016,1,414
江苏,320000,a28bb927b6fcb33c,Sedan,2016,1,902
江西,360000,a28bb927b6fcb33c,Sedan,2016,1,248
河北,130000,a28bb927b6fcb33c,Sedan,2016,1,409
河南,410000,a28bb927b6fcb33c,Sedan,2016,1,455
浙江,330000,a28bb927b6fcb33c,Sedan,2016,1,1040
湖北,420000,a28bb927b6fcb33c,Sedan,2016,1,675
湖南,430000,a28bb927b6fcb33c,Sedan,2016,1,547
福建,350000,a28bb927b6fcb33c,Sedan,2016,1,464
辽宁,210000,a28bb927b6fcb33c,Sedan,2016,1,649
重庆,500000,a28bb927b6fcb33c,Sedan,2016,1,187
陕西,610000,a28bb927b6fcb33c,Sedan,2016,1,259
黑龙江,230000,a28bb927b6fcb33c,Sedan,2016,1,291
上海,310000,17bc272c93f19d56,MPV,2016,1,365
云南,530000,17bc272c93f19d56,MPV,2016,1,4147
内蒙古,150000,17bc272c93f19d56,MPV,2016,1,567
北京,110000,17bc272c93f19d56,MPV,2016,1,456
四川,510000,17bc272c93f19d56,MPV,2016,1,1772
安徽,340000,17bc272c93f19d56,MPV,2016,1,2289
山东,370000,17bc272c93f19d56,MPV,2016,1,5481
山西,140000,17bc272c93f19d56,MPV,2016,1,2166
广东,440000,17bc272c93f19d56,MPV,2016,1,2118
广西,450000,17bc272c93f19d56,MPV,2016,1,4779
江苏,320000,17bc272c93f19d56,MPV,2016,1,2358
江西,360000,17bc272c93f19d56,MPV,2016,1,1882
河北,130000,17bc272c93f19d56,MPV,2016,1,4112
河南,410000,17bc272c93f19d56,MPV,2016,1,7051
浙江,330000,17bc272c93f19d56,MPV,2016,1,1411
湖北,420000,17bc272c93f19d56,MPV,2016,1,1923
湖南,430000,17bc272c93f19d56,MPV,2016,1,2637
福建,350000,17bc272c93f19d56,MPV,2016,1,670
辽宁,210000,17bc272c93f19d56,MPV,2016,1,1203
重庆,500000,17bc272c93f19d56,MPV,2016,1,370
陕西,610000,17bc272c93f19d56,MPV,2016,1,2683
黑龙江,230000,17bc272c93f19d56,MPV,2016,1,721
上海,310000,2a2ab41f8f6ff1cb,SUV,2016,1,431
云南,530000,2a2ab41f8f6ff1cb,SUV,2016,1,248
内蒙古,150000,2a2ab41f8f6ff1cb,SUV,2016,1,939
北京,110000,2a2ab41f8f6ff1cb,SUV,2016,1,458
四川,510000,2a2ab41f8f6ff1cb,SUV,2016,1,1221
安徽,340000,2a2ab41f8f6ff1cb,SUV,2016,1,1440
山东,370000,2a2ab41f8f6ff1cb,SUV,2016,1,1657
山西,140000,2a2ab41f8f6ff1cb,SUV,2016,1,639
广东,440000,2a2ab41f8f6ff1cb,SUV,2016,1,6442
广西,450000,2a2ab41f8f6ff1cb,SUV,2016,1,719
江苏,320000,2a2ab41f8f6ff1cb,SUV,2016,1,2063
江西,360000,2a2ab41f8f6ff1cb,SUV,2016,1,1070
河北,130000,2a2ab41f8f6ff1cb,SUV,2016,1,1775
河南,410000,2a2ab41f8f6ff1cb,SUV,2016,1,2481
浙江,330000,2a2ab41f8f6ff1cb,SUV,2016,1,1156
湖北,420000,2a2ab41f8f6ff1cb,SUV,2016,1,1769
湖南,430000,2a2ab41f8f6ff1cb,SUV,2016,1,1843
福建,350000,2a2ab41f8f6ff1cb,SUV,2016,1,356
辽宁,210000,2a2ab41f8f6ff1cb,SUV,2016,1,299
重庆,500000,2a2ab41f8f6ff1cb,SUV,2016,1,771
陕西,610000,2a2ab41f8f6ff1cb,SUV,2016,1,524
黑龙江,230000,2a2ab41f8f6ff1cb,SUV,2016,1,605
上海,310000,c06a2a387c0ee510,MPV,2016,1,1178
云南,530000,c06a2a387c0ee510,MPV,2016,1,77
内蒙古,150000,c06a2a387c0ee510,MPV,2016,1,67
北京,110000,c06a2a387c0ee510,MPV,2016,1,1071
四川,510000,c06a2a387c0ee510,MPV,2016,1,156
安徽,340000,c06a2a387c0ee510,MPV,2016,1,149
山东,370000,c06a2a387c0ee510,MPV,2016,1,635
山西,140000,c06a2a387c0ee510,MPV,2016,1,133
广东,440000,c06a2a387c0ee510,MPV,2016,1,585
广西,450000,c06a2a387c0ee510,MPV,2016,1,58
江苏,320000,c06a2a387c0ee510,MPV,2016,1,739
江西,360000,c06a2a387c0ee510,MPV,2016,1,91
河北,130000,c06a2a387c0ee510,MPV,2016,1,250
河南,410000,c06a2a387c0ee510,MPV,2016,1,383
浙江,330000,c06a2a387c0ee510,MPV,2016,1,395
湖北,420000,c06a2a387c0ee510,MPV,2016,1,109
湖南,430000,c06a2a387c0ee510,MPV,2016,1,80
福建,350000,c06a2a387c0ee510,MPV,2016,1,77
辽宁,210000,c06a2a387c0ee510,MPV,2016,1,160
重庆,500000,c06a2a387c0ee510,MPV,2016,1,81
陕西,610000,c06a2a387c0ee510,MPV,2016,1,175
黑龙江,230000,c06a2a387c0ee510,MPV,2016,1,108
上海,310000,7023efdab9cedc03,Sedan,2016,1,992
云南,530000,7023efdab9cedc03,Sedan,2016,1,191
内蒙古,150000,7023efdab9cedc03,Sedan,2016,1,102
北京,110000,7023efdab9cedc03,Sedan,2016,1,210
四川,510000,7023efdab9cedc03,Sedan,2016,1,429
安徽,340000,7023efdab9cedc03,Sedan,2016,1,762
山东,370000,7023efdab9cedc03,Sedan,2016,1,898
山西,140000,7023efdab9cedc03,Sedan,2016,1,114
广东,440000,7023efdab9cedc03,Sedan,2016,1,609
广西,450000,7023efdab9cedc03,Sedan,2016,1,170
江苏,320000,7023efdab9cedc03,Sedan,2016,1,1906
江西,360000,7023efdab9cedc03,Sedan,2016,1,344
河北,130000,7023efdab9cedc03,Sedan,2016,1,279
河南,410000,7023efdab9cedc03,Sedan,2016,1,558
浙江,330000,7023efdab9cedc03,Sedan,2016,1,1566
湖北,420000,7023efdab9cedc03,Sedan,2016,1,453
湖南,430000,7023efdab9cedc03,Sedan,2016,1,459
福建,350000,7023efdab9cedc03,Sedan,2016,1,237
辽宁,210000,7023efdab9cedc03,Sedan,2016,1,158
重庆,500000,7023efdab9cedc03,Sedan,2016,1,81
陕西,610000,7023efdab9cedc03,Sedan,2016,1,275
黑龙江,230000,7023efdab9cedc03,Sedan,2016,1,38
上海,310000,af6f4f548684e14d,SUV,2016,1,1572
云南,530000,af6f4f548684e14d,SUV,2016,1,612
内蒙古,150000,af6f4f548684e14d,SUV,2016,1,463
北京,110000,af6f4f548684e14d,SUV,2016,1,895
四川,510000,af6f4f548684e14d,SUV,2016,1,1417
安徽,340000,af6f4f548684e14d,SUV,2016,1,1219
山东,370000,af6f4f548684e14d,SUV,2016,1,2241
山西,140000,af6f4f548684e14d,SUV,2016,1,677
广东,440000,af6f4f548684e14d,SUV,2016,1,2250
广西,450000,af6f4f548684e14d,SUV,2016,1,594
江苏,320000,af6f4f548684e14d,SUV,2016,1,2192
江西,360000,af6f4f548684e14d,SUV,2016,1,1062
河北,130000,af6f4f548684e14d,SUV,2016,1,1028
河南,410000,af6f4f548684e14d,SUV,2016,1,1627
浙江,330000,af6f4f548684e14d,SUV,2016,1,1657
湖北,420000,af6f4f548684e14d,SUV,2016,1,1510
湖南,430000,af6f4f548684e14d,SUV,2016,1,1650
福建,350000,af6f4f548684e14d,SUV,2016,1,850
辽宁,210000,af6f4f548684e14d,SUV,2016,1,446
重庆,500000,af6f4f548684e14d,SUV,2016,1,540
陕西,610000,af6f4f548684e14d,SUV,2016,1,746
黑龙江,230000,af6f4f548684e14d,SUV,2016,1,266
上海,310000,7cf283430b3b5e38,Sedan,2016,1,1709
云南,530000,7cf283430b3b5e38,Sedan,2016,1,390
内蒙古,150000,7cf283430b3b5e38,Sedan,2016,1,558
北京,110000,7cf283430b3b5e38,Sedan,2016,1,334
四川,510000,7cf283430b3b5e38,Sedan,2016,1,1710
安徽,340000,7cf283430b3b5e38,Sedan,2016,1,2375
山东,370000,7cf283430b3b5e38,Sedan,2016,1,3723
山西,140000,7cf283430b3b5e38,Sedan,2016,1,646
广东,440000,7cf283430b3b5e38,Sedan,2016,1,1777
广西,450000,7cf283430b3b5e38,Sedan,2016,1,677
江苏,320000,7cf283430b3b5e38,Sedan,2016,1,4998
江西,360000,7cf283430b3b5e38,Sedan,2016,1,1261
河北,130000,7cf283430b3b5e38,Sedan,2016,1,1931
河南,410000,7cf283430b3b5e38,Sedan,2016,1,2603
浙江,330000,7cf283430b3b5e38,Sedan,2016,1,3101
湖北,420000,7cf283430b3b5e38,Sedan,2016,1,1782
湖南,430000,7cf283430b3b5e38,Sedan,2016,1,1687
福建,350000,7cf283430b3b5e38,Sedan,2016,1,893
辽宁,210000,7cf283430b3b5e38,Sedan,2016,1,589
重庆,500000,7cf283430b3b5e38,Sedan,2016,1,370
陕西,610000,7cf283430b3b5e38,Sedan,2016,1,741
黑龙江,230000,7cf283430b3b5e38,Sedan,2016,1,299
上海,310000,d4efbebb087fd03f,Sedan,2016,1,204
云南,530000,d4efbebb087fd03f,Sedan,2016,1,184
内蒙古,150000,d4efbebb087fd03f,Sedan,2016,1,389
北京,110000,d4efbebb087fd03f,Sedan,2016,1,207
四川,510000,d4efbebb087fd03f,Sedan,2016,1,955
安徽,340000,d4efbebb087fd03f,Sedan,2016,1,792
山东,370000,d4efbebb087fd03f,Sedan,2016,1,1924
山西,140000,d4efbebb087fd03f,Sedan,2016,1,452
广东,440000,d4efbebb087fd03f,Sedan,2016,1,1224
广西,450000,d4efbebb087fd03f,Sedan,2016,1,498
江苏,320000,d4efbebb087fd03f,Sedan,2016,1,1062
江西,360000,d4efbebb087fd03f,Sedan,2016,1,1049
河北,130000,d4efbebb087fd03f,Sedan,2016,1,919
河南,410000,d4efbebb087fd03f,Sedan,2016,1,2130
浙江,330000,d4efbebb087fd03f,Sedan,2016,1,1779
湖北,420000,d4efbebb087fd03f,Sedan,2016,1,890
湖南,430000,d4efbebb087fd03f,Sedan,2016,1,1524
福建,350000,d4efbebb087fd03f,Sedan,2016,1,671
辽宁,210000,d4efbebb087fd03f,Sedan,2016,1,214
重庆,500000,d4efbebb087fd03f,Sedan,2016,1,378
陕西,610000,d4efbebb087fd03f,Sedan,2016,1,927
黑龙江,230000,d4efbebb087fd03f,Sedan,2016,1,193
上海,310000,7245e0ee27b195cd,Sedan,2016,1,78
云南,530000,7245e0ee27b195cd,Sedan,2016,1,341
内蒙古,150000,7245e0ee27b195cd,Sedan,2016,1,352
北京,110000,7245e0ee27b195cd,Sedan,2016,1,235
四川,510000,7245e0ee27b195cd,Sedan,2016,1,756
安徽,340000,7245e0ee27b195cd,Sedan,2016,1,363
山东,370000,7245e0ee27b195cd,Sedan,2016,1,1789
山西,140000,7245e0ee27b195cd,Sedan,2016,1,429
广东,440000,7245e0ee27b195cd,Sedan,2016,1,641
广西,450000,7245e0ee27b195cd,Sedan,2016,1,285
江苏,320000,7245e0ee27b195cd,Sedan,2016,1,444
江西,360000,7245e0ee27b195cd,Sedan,2016,1,527
河北,130000,7245e0ee27b195cd,Sedan,2016,1,1277
河南,410000,7245e0ee27b195cd,Sedan,2016,1,1463
浙江,330000,7245e0ee27b195cd,Sedan,2016,1,450
湖北,420000,7245e0ee27b195cd,Sedan,2016,1,427
湖南,430000,7245e0ee27b195cd,Sedan,2016,1,899
福建,350000,7245e0ee27b195cd,Sedan,2016,1,201
辽宁,210000,7245e0ee27b195cd,Sedan,2016,1,295
重庆,500000,7245e0ee27b195cd,Sedan,2016,1,218
陕西,610000,7245e0ee27b195cd,Sedan,2016,1,785
黑龙江,230000,7245e0ee27b195cd,Sedan,2016,1,272
上海,310000,8c915fe4632fb9fa,SUV,2016,1,320
云南,530000,8c915fe4632fb9fa,SUV,2016,1,785
内蒙古,150000,8c915fe4632fb9fa,SUV,2016,1,363
北京,110000,8c915fe4632fb9fa,SUV,2016,1,362
四川,510000,8c915fe4632fb9fa,SUV,2016,1,1794
安徽,340000,8c915fe4632fb9fa,SUV,2016,1,1233
山东,370000,8c915fe4632fb9fa,SUV,2016,1,1412
山西,140000,8c915fe4632fb9fa,SUV,2016,1,494
广东,440000,8c915fe4632fb9fa,SUV,2016,1,1574
广西,450000,8c915fe4632fb9fa,SUV,2016,1,527
江苏,320000,8c915fe4632fb9fa,SUV,2016,1,1591
江西,360000,8c915fe4632fb9fa,SUV,2016,1,905
河北,130000,8c915fe4632fb9fa,SUV,2016,1,1293
河南,410000,8c915fe4632fb9fa,SUV,2016,1,1515
浙江,330000,8c915fe4632fb9fa,SUV,2016,1,1861
湖北,420000,8c915fe4632fb9fa,SUV,2016,1,1123
湖南,430000,8c915fe4632fb9fa,SUV,2016,1,1080
福建,350000,8c915fe4632fb9fa,SUV,2016,1,489
辽宁,210000,8c915fe4632fb9fa,SUV,2016,1,351
重庆,500000,8c915fe4632fb9fa,SUV,2016,1,459
陕西,610000,8c915fe4632fb9fa,SUV,2016,1,709
黑龙江,230000,8c915fe4632fb9fa,SUV,2016,1,587
上海,310000,6155b214590c66e6,SUV,2016,1,871
云南,530000,6155b214590c66e6,SUV,2016,1,1704
内蒙古,150000,6155b214590c66e6,SUV,2016,1,744
北京,110000,6155b214590c66e6,SUV,2016,1,963
四川,510000,6155b214590c66e6,SUV,2016,1,3386
安徽,340000,6155b214590c66e6,SUV,2016,1,2327
山东,370000,6155b214590c66e6,SUV,2016,1,3259
山西,140000,6155b214590c66e6,SUV,2016,1,885
广东,440000,6155b214590c66e6,SUV,2016,1,3438
广西,450000,6155b214590c66e6,SUV,2016,1,898
江苏,320000,6155b214590c66e6,SUV,2016,1,3796
江西,360000,6155b214590c66e6,SUV,2016,1,1595
河北,130000,6155b214590c66e6,SUV,2016,1,2546
河南,410000,6155b214590c66e6,SUV,2016,1,4567
浙江,330000,6155b214590c66e6,SUV,2016,1,3658
湖北,420000,6155b214590c66e6,SUV,2016,1,2416
湖南,430000,6155b214590c66e6,SUV,2016,1,2539
福建,350000,6155b214590c66e6,SUV,2016,1,820
辽宁,210000,6155b214590c66e6,SUV,2016,1,967
重庆,500000,6155b214590c66e6,SUV,2016,1,1093
陕西,610000,6155b214590c66e6,SUV,2016,1,1187
黑龙江,230000,6155b214590c66e6,SUV,2016,1,797
上海,310000,28e29f2c03dcd84c,Sedan,2016,1,1357
云南,530000,28e29f2c03dcd84c,Sedan,2016,1,572
内蒙古,150000,28e29f2c03dcd84c,Sedan,2016,1,624
北京,110000,28e29f2c03dcd84c,Sedan,2016,1,1794
四川,510000,28e29f2c03dcd84c,Sedan,2016,1,933
安徽,340000,28e29f2c03dcd84c,Sedan,2016,1,1168
山东,370000,28e29f2c03dcd84c,Sedan,2016,1,1944
山西,140000,28e29f2c03dcd84c,Sedan,2016,1,1214
广东,440000,28e29f2c03dcd84c,Sedan,2016,1,542
广西,450000,28e29f2c03dcd84c,Sedan,2016,1,218
江苏,320000,28e29f2c03dcd84c,Sedan,2016,1,2309
江西,360000,28e29f2c03dcd84c,Sedan,2016,1,722
河北,130000,28e29f2c03dcd84c,Sedan,2016,1,1886
河南,410000,28e29f2c03dcd84c,Sedan,2016,1,1577
浙江,330000,28e29f2c03dcd84c,Sedan,2016,1,1114
湖北,420000,28e29f2c03dcd84c,Sedan,2016,1,523
湖南,430000,28e29f2c03dcd84c,Sedan,2016,1,747
福建,350000,28e29f2c03dcd84c,Sedan,2016,1,584
辽宁,210000,28e29f2c03dcd84c,Sedan,2016,1,263
重庆,500000,28e29f2c03dcd84c,Sedan,2016,1,800
陕西,610000,28e29f2c03dcd84c,Sedan,2016,1,789
黑龙江,230000,28e29f2c03dcd84c,Sedan,2016,1,183
上海,310000,37aa9169b575ef79,Sedan,2016,1,46
云南,530000,37aa9169b575ef79,Sedan,2016,1,1285
内蒙古,150000,37aa9169b575ef79,Sedan,2016,1,1314
北京,110000,37aa9169b575ef79,Sedan,2016,1,945
四川,510000,37aa9169b575ef79,Sedan,2016,1,2222
安徽,340000,37aa9169b575ef79,Sedan,2016,1,607
山东,370000,37aa9169b575ef79,Sedan,2016,1,4027
山西,140000,37aa9169b575ef79,Sedan,2016,1,1234
广东,440000,37aa9169b575ef79,Sedan,2016,1,1556
广西,450000,37aa9169b575ef79,Sedan,2016,1,493
江苏,320000,37aa9169b575ef79,Sedan,2016,1,917
江西,360000,37aa9169b575ef79,Sedan,2016,1,496
河北,130000,37aa9169b575ef79,Sedan,2016,1,3740
河南,410000,37aa9169b575ef79,Sedan,2016,1,2560
浙江,330000,37aa9169b575ef79,Sedan,2016,1,800
湖北,420000,37aa9169b575ef79,Sedan,2016,1,841
湖南,430000,37aa9169b575ef79,Sedan,2016,1,2251
福建,350000,37aa9169b575ef79,Sedan,2016,1,788
辽宁,210000,37aa9169b575ef79,Sedan,2016,1,1349
重庆,500000,37aa9169b575ef79,Sedan,2016,1,234
陕西,610000,37aa9169b575ef79,Sedan,2016,1,1113
黑龙江,230000,37aa9169b575ef79,Sedan,2016,1,1494
上海,310000,63065128401bb3ff,Sedan,2016,1,2375
云南,530000,63065128401bb3ff,Sedan,2016,1,1009
内蒙古,150000,63065128401bb3ff,Sedan,2016,1,744
北京,110000,63065128401bb3ff,Sedan,2016,1,1468
四川,510000,63065128401bb3ff,Sedan,2016,1,2462
安徽,340000,63065128401bb3ff,Sedan,2016,1,3082
山东,370000,63065128401bb3ff,Sedan,2016,1,5502
山西,140000,63065128401bb3ff,Sedan,2016,1,2073
广东,440000,63065128401bb3ff,Sedan,2016,1,2669
广西,450000,63065128401bb3ff,Sedan,2016,1,722
江苏,320000,63065128401bb3ff,Sedan,2016,1,5630
江西,360000,63065128401bb3ff,Sedan,2016,1,2694
河北,130000,63065128401bb3ff,Sedan,2016,1,4516
河南,410000,63065128401bb3ff,Sedan,2016,1,4592
浙江,330000,63065128401bb3ff,Sedan,2016,1,3120
湖北,420000,63065128401bb3ff,Sedan,2016,1,2590
湖南,430000,63065128401bb3ff,Sedan,2016,1,2791
福建,350000,63065128401bb3ff,Sedan,2016,1,1609
辽宁,210000,63065128401bb3ff,Sedan,2016,1,916
重庆,500000,63065128401bb3ff,Sedan,2016,1,1039
陕西,610000,63065128401bb3ff,Sedan,2016,1,1658
黑龙江,230000,63065128401bb3ff,Sedan,2016,1,399
上海,310000,ea489c253676aafc,Sedan,2016,1,968
云南,530000,ea489c253676aafc,Sedan,2016,1,612
内蒙古,150000,ea489c253676aafc,Sedan,2016,1,712
北京,110000,ea489c253676aafc,Sedan,2016,1,529
四川,510000,ea489c253676aafc,Sedan,2016,1,1515
安徽,340000,ea489c253676aafc,Sedan,2016,1,1394
山东,370000,ea489c253676aafc,Sedan,2016,1,5127
山西,140000,ea489c253676aafc,Sedan,2016,1,2427
广东,440000,ea489c253676aafc,Sedan,2016,1,467
广西,450000,ea489c253676aafc,Sedan,2016,1,403
江苏,320000,ea489c253676aafc,Sedan,2016,1,1366
江西,360000,ea489c253676aafc,Sedan,2016,1,955
河北,130000,ea489c253676aafc,Sedan,2016,1,4674
河南,410000,ea489c253676aafc,Sedan,2016,1,2819
浙江,330000,ea489c253676aafc,Sedan,2016,1,1400
湖北,420000,ea489c253676aafc,Sedan,2016,1,677
湖南,430000,ea489c253676aafc,Sedan,2016,1,1213
福建,350000,ea489c253676aafc,Sedan,2016,1,500
辽宁,210000,ea489c253676aafc,Sedan,2016,1,790
重庆,500000,ea489c253676aafc,Sedan,2016,1,587
陕西,610000,ea489c253676aafc,Sedan,2016,1,916
黑龙江,230000,ea489c253676aafc,Sedan,2016,1,447
上海,310000,cd5841d44fd7625e,Sedan,2016,1,317
云南,530000,cd5841d44fd7625e,Sedan,2016,1,523
内蒙古,150000,cd5841d44fd7625e,Sedan,2016,1,445
北京,110000,cd5841d44fd7625e,Sedan,2016,1,1279
四川,510000,cd5841d44fd7625e,Sedan,2016,1,985
安徽,340000,cd5841d44fd7625e,Sedan,2016,1,594
山东,370000,cd5841d44fd7625e,Sedan,2016,1,1527
山西,140000,cd5841d44fd7625e,Sedan,2016,1,453
广东,440000,cd5841d44fd7625e,Sedan,2016,1,752
广西,450000,cd5841d44fd7625e,Sedan,2016,1,211
江苏,320000,cd5841d44fd7625e,Sedan,2016,1,1523
江西,360000,cd5841d44fd7625e,Sedan,2016,1,379
河北,130000,cd5841d44fd7625e,Sedan,2016,1,1612
河南,410000,cd5841d44fd7625e,Sedan,2016,1,1352
浙江,330000,cd5841d44fd7625e,Sedan,2016,1,764
湖北,420000,cd5841d44fd7625e,Sedan,2016,1,493
湖南,430000,cd5841d44fd7625e,Sedan,2016,1,508
福建,350000,cd5841d44fd7625e,Sedan,2016,1,492
辽宁,210000,cd5841d44fd7625e,Sedan,2016,1,638
重庆,500000,cd5841d44fd7625e,Sedan,2016,1,313
陕西,610000,cd5841d44fd7625e,Sedan,2016,1,491
黑龙江,230000,cd5841d44fd7625e,Sedan,2016,1,789
上海,310000,b25c4e2e3856af22,SUV,2016,1,1571
云南,530000,b25c4e2e3856af22,SUV,2016,1,844
内蒙古,150000,b25c4e2e3856af22,SUV,2016,1,349
北京,110000,b25c4e2e3856af22,SUV,2016,1,1075
四川,510000,b25c4e2e3856af22,SUV,2016,1,1631
安徽,340000,b25c4e2e3856af22,SUV,2016,1,1305
山东,370000,b25c4e2e3856af22,SUV,2016,1,1420
山西,140000,b25c4e2e3856af22,SUV,2016,1,469
广东,440000,b25c4e2e3856af22,SUV,2016,1,2185
广西,450000,b25c4e2e3856af22,SUV,2016,1,412
江苏,320000,b25c4e2e3856af22,SUV,2016,1,2303
江西,360000,b25c4e2e3856af22,SUV,2016,1,1219
河北,130000,b25c4e2e3856af22,SUV,2016,1,1075
河南,410000,b25c4e2e3856af22,SUV,2016,1,1463
浙江,330000,b25c4e2e3856af22,SUV,2016,1,3182
湖北,420000,b25c4e2e3856af22,SUV,2016,1,1269
湖南,430000,b25c4e2e3856af22,SUV,2016,1,1418
福建,350000,b25c4e2e3856af22,SUV,2016,1,1432
辽宁,210000,b25c4e2e3856af22,SUV,2016,1,417
重庆,500000,b25c4e2e3856af22,SUV,2016,1,651
陕西,610000,b25c4e2e3856af22,SUV,2016,1,640
黑龙江,230000,b25c4e2e3856af22,SUV,2016,1,352
上海,310000,4a103c30d593fbbe,Sedan,2016,1,502
云南,530000,4a103c30d593fbbe,Sedan,2016,1,704
内蒙古,150000,4a103c30d593fbbe,Sedan,2016,1,749
北京,110000,4a103c30d593fbbe,Sedan,2016,1,1396
四川,510000,4a103c30d593fbbe,Sedan,2016,1,2380
安徽,340000,4a103c30d593fbbe,Sedan,2016,1,1207
山东,370000,4a103c30d593fbbe,Sedan,2016,1,2790
山西,140000,4a103c30d593fbbe,Sedan,2016,1,831
广东,440000,4a103c30d593fbbe,Sedan,2016,1,1467
广西,450000,4a103c30d593fbbe,Sedan,2016,1,447
江苏,320000,4a103c30d593fbbe,Sedan,2016,1,2903
江西,360000,4a103c30d593fbbe,Sedan,2016,1,698
河北,130000,4a103c30d593fbbe,Sedan,2016,1,2975
河南,410000,4a103c30d593fbbe,Sedan,2016,1,2415
浙江,330000,4a103c30d593fbbe,Sedan,2016,1,2040
湖北,420000,4a103c30d593fbbe,Sedan,2016,1,1338
